순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,안현민,KT,0.332,95,406,331,58,110,13,4,18,185,67,0,3,35,78,85,0.92,6,1.05,4.27,0.227,81.9,0.341
2,레이예스,롯데,0.327,127,565,501,65,164,38,1,12,240,95,0,8,51,158,128,1.23,7,0.92,3.66,0.152,85.1,0.295
3,양의지,두산,0.327,120,487,425,53,139,23,1,19,221,83,0,6,43,91,141,0.65,4,0.82,3.72,0.193,84,0.31
4,김성윤,삼성,0.325,108,454,388,74,126,25,9,4,181,49,9,2,38,131,85,1.54,2,1.08,3.64,0.142,72,0.3
5,송성문,키움,0.319,127,568,501,90,160,32,3,24,270,78,0,3,59,125,142,0.88,8,0.82,3.75,0.22,103.4,0.312
6,구자욱,삼성,0.317,124,539,463,93,147,39,1,16,236,79,1,8,56,131,114,1.15,12,0.78,4.05,0.192,90.8,0.307
7,문현빈,한화,0.317,122,510,454,58,144,27,1,12,209,67,5,9,40,126,120,1.05,12,0.47,3.59,0.143,76.9,0.281
8,신민재,LG,0.316,116,457,389,77,123,12,6,1,150,46,6,2,19,158,63,2.51,2,1.21,3.89,0.069,63.5,0.279
9,문성주,LG,0.31,116,462,403,48,125,19,1,2,152,58,0,9,22,143,91,1.57,9,0.87,3.82,0.067,61.2,0.265
10,박민우,NC,0.304,110,447,385,62,117,23,8,3,165,65,4,4,34,105,107,0.98,6,0.72,3.64,0.125,65.9,0.281
11,최형우,KIA,0.303,116,488,412,65,125,28,1,20,215,74,0,4,49,85,118,0.72,8,0.73,4.01,0.218,84.1,0.312
12,디아즈,삼성,0.3,125,546,483,80,145,24,0,43,298,131,0,10,67,93,166,0.56,13,0.55,3.85,0.317,103.5,0.318
13,케이브,두산,0.299,117,511,461,62,138,25,5,14,215,74,0,8,44,114,115,0.99,6,0.37,3.8,0.167,77.4,0.275
14,채은성,한화,0.299,115,453,415,51,124,26,1,19,209,80,3,0,46,100,113,0.88,10,0.32,3.68,0.205,69,0.285
15,김주원,NC,0.298,120,533,460,87,137,21,7,12,208,51,4,2,40,97,137,0.71,2,0.58,3.96,0.154,82.8,0.287
16,김현수,LG,0.296,123,484,422,56,125,21,0,11,179,81,0,1,32,127,109,1.17,13,0.94,3.92,0.128,68.4,0.279
17,오스틴,LG,0.293,97,415,355,67,104,18,1,25,199,73,0,8,44,60,145,0.41,10,0.93,3.77,0.268,74.4,0.309
18,문보경,LG,0.293,123,537,454,83,133,19,1,24,226,105,0,9,44,143,104,1.38,13,0.84,4.03,0.205,88.6,0.298
19,김민혁,KT,0.291,100,392,357,49,104,12,2,0,120,34,4,1,14,139,79,1.76,7,0.67,3.66,0.045,40.3,0.239
20,전준우,롯데,0.288,104,432,375,47,108,26,1,7,157,64,3,6,34,91,119,0.76,11,0.63,3.64,0.131,57.6,0.269
21,고승민,롯데,0.286,105,467,409,62,117,18,2,4,151,41,4,4,24,102,120,0.85,5,0.64,4.02,0.083,57.5,0.255
22,류지혁,삼성,0.282,111,409,351,49,99,13,0,1,115,35,13,4,14,110,83,1.33,3,0.48,3.8,0.046,43.1,0.241
23,박찬호,KIA,0.28,113,508,439,68,123,15,1,3,149,31,7,5,19,121,144,0.84,1,0.98,3.84,0.059,62.3,0.246
24,한유섬,SSG,0.278,109,438,389,43,108,21,0,13,168,59,1,1,34,82,101,0.81,5,0.42,3.96,0.154,58.8,0.268
25,오선우,KIA,0.277,102,396,364,53,101,16,1,16,167,50,0,0,33,78,60,1.3,6,0.24,4.03,0.181,52,0.266
26,강민호,삼성,0.275,109,403,356,33,98,20,0,11,151,64,0,7,31,109,100,1.09,6,0.59,3.64,0.149,51.2,0.26
27,허경민,KT,0.275,97,403,353,37,97,16,0,3,122,32,2,3,19,110,119,0.92,5,1.07,3.88,0.071,43.2,0.246
28,박해민,LG,0.274,125,473,380,67,104,16,2,3,133,40,21,4,21,87,113,0.77,2,0.75,3.96,0.076,60.6,0.259
29,박성한,SSG,0.273,107,451,373,60,102,20,1,6,142,39,2,2,27,106,88,1.2,5,0.9,4.56,0.107,59.4,0.272
30,최주환,키움,0.272,110,467,423,43,115,30,1,12,183,67,0,6,43,101,151,0.67,6,0.53,4.02,0.161,60.1,0.256
