¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KIA,0.301,141,5688,5016,836,1509,263,28,162,2314,793,45,52,515,18,58,889,117,0.461,0.369,0.83,141,0.307,0.35
2,·Ôµ¥,0.283,140,5595,4966,773,1405,275,40,122,2126,729,37,54,475,12,63,1052,98,0.428,0.35,0.778,140,0.288,0.243
3,LG,0.282,142,5646,4850,791,1369,234,28,113,1998,749,45,72,610,18,69,960,95,0.412,0.366,0.778,141,0.282,0.265
4,KT,0.277,142,5711,4988,749,1383,225,15,143,2067,704,60,43,574,17,46,1111,111,0.414,0.354,0.768,142,0.274,0.226
5,µÎ»ê,0.277,142,5604,4907,781,1360,240,21,149,2089,736,55,59,502,17,81,1063,100,0.426,0.35,0.776,141,0.28,0.25
6,NC,0.273,138,5523,4794,750,1310,213,15,169,2060,716,50,53,500,14,126,1151,97,0.43,0.354,0.784,138,0.271,0.222
7,SSG,0.272,141,5523,4888,733,1330,229,20,149,2046,702,49,48,463,12,75,1071,85,0.419,0.341,0.76,141,0.285,0.168
8,ÇÑÈ­,0.271,141,5588,4906,733,1329,217,18,126,1960,687,42,38,518,17,84,1055,108,0.4,0.348,0.748,141,0.296,0.253
9,»ï¼º,0.269,143,5661,4941,766,1329,203,17,183,2115,730,57,47,529,13,87,1141,94,0.428,0.347,0.775,142,0.271,0.231
10,Å°¿ò,0.265,140,5506,4862,653,1288,216,22,101,1851,622,37,48,481,10,78,1098,94,0.381,0.338,0.719,139,0.277,0.242
