순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,에레디아,SSG,0.358,133,577,528,81,189,29,1,21,283,115,0,9
2,레이예스,롯데,0.353,140,612,556,86,196,39,3,15,286,107,0,10
3,김도영,KIA,0.35,138,611,532,141,186,29,10,38,349,107,1,7
4,구자욱,삼성,0.343,128,567,492,92,169,39,1,33,309,115,2,6
5,송성문,키움,0.34,138,583,509,83,173,27,4,19,265,103,0,8
6,홍창기,LG,0.334,137,631,518,94,173,17,3,5,211,72,1,4
7,박민우,NC,0.329,116,515,447,75,147,26,2,8,201,49,4,4
8,김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0
9,로하스,KT,0.326,142,658,562,106,183,39,1,32,320,111,0,4
10,김혜성,키움,0.323,124,553,498,87,161,25,4,11,227,73,0,7
11,오스틴,LG,0.319,138,599,523,98,167,32,3,32,301,130,0,12
12,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1
13,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6
14,소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5
15,허경민,두산,0.309,114,473,414,69,128,28,0,7,177,60,0,6
16,박찬호,KIA,0.306,132,569,507,84,155,24,1,5,196,60,7,6
17,나승엽,롯데,0.306,117,474,396,56,121,33,4,6,180,62,2,7
18,강민호,삼성,0.303,135,451,402,48,122,19,1,19,200,77,0,6
19,권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6
20,데이비슨,NC,0.299,127,555,492,89,147,21,1,46,308,119,0,7
21,안치홍,한화,0.298,125,523,463,64,138,19,0,13,196,66,1,4
22,고승민,롯데,0.297,116,518,468,76,139,26,6,12,213,82,1,8
23,문보경,LG,0.295,142,593,511,76,151,34,3,20,251,94,3,13
24,신민재,LG,0.295,126,469,383,76,113,11,6,0,136,40,15,3
25,최원준,KIA,0.294,133,501,432,75,127,22,3,9,182,55,7,4
26,박성한,SSG,0.294,134,550,477,73,140,24,0,10,194,65,3,6
27,윤동희,롯데,0.293,137,598,522,94,153,35,4,14,238,85,2,5
28,이우성,KIA,0.293,109,441,393,55,115,16,1,9,160,54,0,3
29,김현수,LG,0.292,135,579,513,61,150,36,2,8,214,68,1,9
30,김태연,한화,0.292,123,463,404,57,118,23,0,12,177,61,6,4
31,전준우,롯데,0.29,105,465,410,54,119,26,2,17,200,79,1,4
32,강백호,KT,0.287,142,603,540,88,155,25,0,25,255,94,0,2
33,최정,SSG,0.286,126,536,454,89,130,25,2,35,264,97,0,7
34,정수빈,두산,0.285,135,603,505,94,144,21,3,4,183,47,10,8
35,강승호,두산,0.282,139,562,517,80,146,34,7,18,248,80,2,4
36,서호철,NC,0.282,135,544,490,65,138,17,3,10,191,58,6,2
37,최형우,KIA,0.28,116,487,425,67,119,23,2,22,212,109,0,5
38,페라자,한화,0.277,120,518,452,75,125,24,0,24,221,70,0,2
39,최지훈,SSG,0.277,122,540,481,89,133,22,7,11,202,49,6,2
40,김재환,두산,0.276,134,544,467,76,129,27,0,28,240,89,0,9
41,박동원,LG,0.274,128,495,431,58,118,22,0,20,200,80,2,7
42,배정대,KT,0.273,111,463,395,48,108,24,1,7,155,56,7,7
43,이주형,키움,0.272,111,517,453,80,123,18,3,13,186,58,0,1
44,채은성,한화,0.271,121,488,431,60,117,24,0,20,201,81,0,4
45,장성우,KT,0.27,129,477,408,51,110,18,0,18,182,76,2,7
46,노시환,한화,0.269,133,589,516,88,139,18,2,24,233,87,0,4
47,박해민,LG,0.265,142,547,476,71,126,16,6,6,172,56,5,9
48,김휘집,NC,0.264,134,536,469,76,124,24,1,16,198,72,4,7
49,박승욱,롯데,0.261,135,454,394,52,103,18,1,7,144,49,3,3
50,황재균,KT,0.261,135,527,486,60,127,22,0,13,188,57,5,1
51,이재현,삼성,0.261,108,455,387,71,101,18,1,14,163,66,0,3
52,김주원,NC,0.256,130,456,367,61,94,18,2,9,143,49,9,5
53,최주환,키움,0.253,126,525,463,47,117,23,1,12,178,78,0,9
54,김영웅,삼성,0.252,125,506,453,65,114,16,3,28,220,79,1,4
55,양석환,두산,0.245,141,589,530,83,130,24,1,34,258,106,1,3
56,한유섬,SSG,0.236,129,509,450,63,106,28,0,23,203,85,1,3
